Record Length,2500,Points,-250.00000000E-3,407.999962568E-3,,Record Length,2500,Points,-250.00000000E-3,-109.6000001E-3,
Sample Interval,199.99999495E-6,s,-249.79999661E-3,423.999965191E-3,,Sample Interval,199.99999495E-6,s,-249.79999661E-3,-108.7999940E-3,
Trigger Point,1.2500001E3,Samples,-249.59999323E-3,407.999962568E-3,,Trigger Point,1.2500001E3,Samples,-249.59999323E-3,-112.7999946E-3,
,,,-249.40000474E-3,407.999962568E-3,,,,,-249.40000474E-3,-107.9999954E-3,
,,,-249.20000136E-3,431.999981403E-3,,,,,-249.20000136E-3,-117.5999939E-3,
,,,-248.99999797E-3,399.99997616E-3,,,,,-248.99999797E-3,-111.9999960E-3,
Source,CH3,,-248.79999459E-3,415.999978781E-3,,Source,CH4,,-248.79999459E-3,-116.7999953E-3,
Vertical Units,Volts,,-248.60000610E-3,439.999967813E-3,,Vertical Units,Volts,,-248.60000610E-3,-115.1999980E-3,
Vertical Scale,204.78123589E-3,,-248.40000272E-3,383.99997354E-3,,Vertical Scale,20.47812448E-3,,-248.40000272E-3,-116.7999953E-3,
Vertical Offset,0,,-248.19999933E-3,399.99997616E-3,,Vertical Offset,0,,-248.19999933E-3,-108.7999940E-3,
Horizontal Units,s,,-247.99999595E-3,439.999967813E-3,,Horizontal Units,s,,-247.99999595E-3,-111.9999960E-3,
Horizontal Scale,49.99999874E-3,,-247.80000746E-3,431.999981403E-3,,Horizontal Scale,49.99999874E-3,,-247.80000746E-3,-107.9999954E-3,
Pt Fmt,Y,,-247.60000408E-3,423.999965191E-3,,Pt Fmt,Y,,-247.60000408E-3,-122.3999932E-3,
Yzero,0.0,,-247.40000069E-3,423.999965191E-3,,Yzero,3.94567374,,-247.40000069E-3,-110.3999987E-3,
Probe Atten,10.0000000,,-247.19999731E-3,431.999981403E-3,,Probe Atten,10.0000000,,-247.19999731E-3,-118.4000000E-3,
,,,-246.99999392E-3,447.999954224E-3,,,,,-246.99999392E-3,-111.9999960E-3,
Note,TDS 2024C - 20:01:32   22.01.2018,,-246.80000544E-3,415.999978781E-3,,Note,TDS 2024C - 20:01:32   22.01.2018,,-246.80000544E-3,-119.9999973E-3,
,,,-246.60000205E-3,439.999967813E-3,,,,,-246.60000205E-3,-111.1999974E-3,
